player_display_name,season,week,fantasy_points_ppr
Christian McCaffrey,2023,1,25.9
Christian McCaffrey,2023,2,22.5
Christian McCaffrey,2023,3,22.9
Christian McCaffrey,2023,4,48.7
Christian McCaffrey,2023,5,13.8
Christian McCaffrey,2023,6,14.2
Christian McCaffrey,2023,7,22.6
Christian McCaffrey,2023,8,29.8
Christian McCaffrey,2023,10,20.2
Christian McCaffrey,2023,11,21.3
Christian McCaffrey,2023,12,30.9
Christian McCaffrey,2023,13,22.3
Christian McCaffrey,2023,14,16.3
Christian McCaffrey,2023,15,41.7
Christian McCaffrey,2023,16,25.1
Christian McCaffrey,2023,17,13.1
Christian McCaffrey,2023,20,31.8
Christian McCaffrey,2023,21,29.2
Christian McCaffrey,2023,22,28.0
Patrick Mahomes,2023,1,19.54
Patrick Mahomes,2023,2,21.2
Patrick Mahomes,2023,3,25.68
Patrick Mahomes,2023,4,13.22
Patrick Mahomes,2023,5,19.24
Patrick Mahomes,2023,6,17.34
Patrick Mahomes,2023,7,33.86
Patrick Mahomes,2023,8,5.6
Patrick Mahomes,2023,9,15.8
Patrick Mahomes,2023,11,16.88
Patrick Mahomes,2023,12,20.82
Patrick Mahomes,2023,13,13.0
Patrick Mahomes,2023,14,13.64
Patrick Mahomes,2023,15,15.7
Patrick Mahomes,2023,16,16.7
Patrick Mahomes,2023,17,12.0
Patrick Mahomes,2023,19,18.58
Patrick Mahomes,2023,20,18.5
Patrick Mahomes,2023,21,15.14
Patrick Mahomes,2023,22,25.92
Justin Jefferson,2023,1,24.0
Justin Jefferson,2023,2,26.9
Justin Jefferson,2023,3,27.9
Justin Jefferson,2023,4,26.5
Justin Jefferson,2023,5,5.8
Justin Jefferson,2023,14,4.7
Justin Jefferson,2023,15,15.4
Justin Jefferson,2023,16,26.1
Justin Jefferson,2023,17,10.9
Justin Jefferson,2023,18,36.0
